	ndop
478	1877.0
479	1844.0
480	1846.0
481	1891.0
482	1874.0
483	
484	1835.0
485	1876.0
486	1830.0
487	1846.0
488	1845.0
489	
490	1846.0
491	1734.0
492	1869.0
493	1846.0
494	1846.0
495	1870.0
496	1870.0
497	1846.0
498	1838.0
499	1863.0
500	1891.0
501	
502	1896.0
503	1895.0
504	1866.0
505	1873.0
506	1868.0
507	1885.0
508	
509	
510	
511	
512	
513	
514	1808.0
515	1860.0
516	1806.0
517	1802.0
518	1888.0
519	
520	1855.0
521	1859.0
522	
523	1821.0
524	1890.0
525	1891.0
526	1898.0
527	1893.0
528	1860.0
529	1884.0
530	1775.0
531	1775.0
532	1894.0
533	
534	1878.0
535	1886.0
536	1897.0
537	1865.0
538	1893.0
539	1818.0
540	1893.0
541	1894.0
542	1887.0
543	1876.0
544	
545	1831.0
546	1868.0
547	1826.0
548	1887.0
549	1866.0
550	1828.0
551	1827.0
552	1856.0
553	
554	1864.0
555	1881.0
556	1816.0
557	1785.0
558	1844.0
559	1836.0
560	1852.0
561	1864.0
562	1862.0
563	
564	1640.0
565	1865.0
566	1687.0
567	1778.0
568	1695.0
569	
570	1749.0
571	1878.0
572	
573	1880.0
574	1870.0
575	1858.0
576	1876.0
577	1843.0
578	1863.0
579	1888.0
580	1840.0
581	1838.0
582	1892.0
583	1828.0
584	1842.0
585	1886.0
586	1841.0
587	1843.0
588	
589	
590	1879.0
591	1866.0
592	
593	1843.0
594	1690.0
595	1696.0
596	1856.0
597	1829.0
598	1847.0
599	1878.0
600	1850.0
601	1851.0
602	1850.0
603	
604	1849.0
605	1865.0
606	1848.0
607	1823.0
608	1831.0
609	
610	1873.0
611	1842.0
612	
613	1866.0
614	1768.0
615	1899.0
616	1898.0
617	1875.0
618	1860.0
619	1887.0
620	1854.0
621	1849.0
622	1878.0
623	1864.0
624	1897.0
625	1887.0
626	1858.0
627	1819.0
628	1863.0
629	1885.0
630	
631	1897.0
632	1889.0
633	1886.0
634	1885.0
635	
636	1892.0
637	1893.0
638	1843.0
639	1829.0
640	1828.0
641	1868.0
642	1871.0
643	1895.0
644	1871.0
645	1870.0
646	1880.0
647	1857.0
648	
649	
650	
651	1857.0
652	1839.0
653	1861.0
654	1861.0
655	1831.0
656	
657	1857.0
658	1813.0
659	
660	1845.0
661	1882.0
662	1888.0
663	1826.0
664	1882.0
665	1863.0
666	1885.0
667	
668	1876.0
669	1876.0
670	1882.0
671	1899.0
672	1814.0
673	1871.0
674	1888.0
675	1899.0
676	1878.0
677	1876.0
678	1895.0
679	1878.0
680	1873.0
681	1880.0
682	1881.0
683	1879.0
684	1875.0
685	
686	1874.0
687	1865.0
688	1873.0
689	1855.0
690	1860.0
